# sample synthetic data for demonstration purposes only (not real measurement)
# zero_cal_ok=1 zero_cal_mean_mm=5.0002 zero_cal_stddev_mm=0.0009 zero_cal_n=30
elapsed_ms,T1_C,T2_C,T3_C,indicator_mm,disp_mm,spc_valid,fault1,fault2,fault3,cold_junction_1_C,cold_junction_2_C,cold_junction_3_C
32000,24.076,23.951,23.969,5.0006,0.0009,1,0,0,0,23.346,24.007,24.300
33000,24.023,24.040,23.939,4.9981,-0.0015,1,0,0,0,23.983,24.308,23.963
34000,23.951,23.875,23.939,4.9994,-0.0003,1,0,0,0,23.496,23.638,23.638
35000,24.029,23.906,23.969,5.0003,0.0006,1,0,0,0,23.638,24.490,23.553
36000,23.909,24.115,24.031,5.0001,0.0004,1,0,0,0,23.944,24.271,24.015
37000,24.009,23.972,23.895,5.0017,0.0020,1,0,0,0,24.383,23.979,24.343
38000,23.997,24.116,23.968,5.0012,0.0015,1,0,0,0,24.111,23.955,24.339
39000,23.983,23.994,23.997,4.9998,0.0001,1,0,0,0,24.005,24.144,24.033
40000,23.990,23.853,23.912,4.9997,0.0001,1,0,0,0,23.994,24.456,24.603
41000,23.849,24.071,24.144,5.0005,0.0008,1,0,0,0,23.786,24.030,23.969
42000,23.956,23.953,23.932,5.0002,0.0005,1,0,0,0,23.837,24.043,23.958
43000,24.007,24.056,23.946,4.9972,-0.0025,1,0,0,0,24.128,24.005,23.230
44000,24.013,24.002,23.922,4.9993,-0.0004,1,0,0,0,23.584,24.535,23.866
45000,23.918,23.877,24.144,4.9975,-0.0022,1,0,0,0,24.178,23.889,24.256
46000,24.101,24.013,24.044,5.0021,0.0024,1,0,0,0,23.883,23.991,24.469
47000,23.931,24.176,23.925,4.9999,0.0002,1,0,0,0,24.248,24.439,23.751
48000,24.078,24.039,24.088,4.9999,0.0003,1,0,0,0,24.288,24.044,24.139
49000,24.034,23.995,24.016,5.0013,0.0016,1,0,0,0,23.498,24.341,24.314
50000,23.948,24.086,24.021,5.0006,0.0010,1,0,0,0,23.826,23.727,24.003
51000,24.142,24.017,23.972,4.9984,-0.0013,1,0,0,0,23.743,23.938,23.315
52000,23.905,24.017,23.940,4.9996,-0.0001,1,0,0,0,23.456,24.445,24.074
53000,24.074,23.913,24.027,4.9994,-0.0003,1,0,0,0,23.690,23.797,24.228
54000,24.080,24.019,23.956,4.9974,-0.0023,1,0,0,0,24.732,23.955,23.716
55000,23.946,24.083,24.145,4.9992,-0.0005,1,0,0,0,24.183,24.077,23.924
56000,24.111,23.933,23.898,4.9995,-0.0002,1,0,0,0,24.575,23.703,23.653
57000,23.980,24.114,24.123,5.0001,0.0004,1,0,0,0,24.249,23.876,23.229
58000,24.023,23.993,23.991,4.9977,-0.0020,1,0,0,0,23.777,24.034,24.308
59000,24.021,23.929,24.024,5.0015,0.0018,1,0,0,0,23.885,24.014,23.999
60000,23.989,24.080,24.067,5.0000,0.0003,1,0,0,0,24.177,24.384,24.479
61000,24.298,24.095,24.006,5.0006,0.0009,1,0,0,0,24.131,24.462,24.257
62000,24.529,24.296,24.182,5.0022,0.0025,1,0,0,0,23.827,23.743,23.894
63000,24.557,24.329,23.953,5.0002,0.0005,1,0,0,0,23.547,24.033,23.975
64000,25.032,24.464,24.168,5.0034,0.0037,1,0,0,0,24.986,24.202,24.170
65000,25.025,24.625,24.208,5.0025,0.0029,1,0,0,0,23.958,24.455,24.290
66000,25.470,24.726,24.237,5.0027,0.0030,1,0,0,0,23.902,24.216,24.097
67000,25.706,24.659,24.377,5.0054,0.0057,1,0,0,0,24.034,24.087,24.332
68000,25.757,24.845,24.481,5.0074,0.0077,1,0,0,0,23.927,24.200,23.911
69000,26.038,25.125,24.562,5.0074,0.0077,1,0,0,0,24.037,24.202,23.701
70000,26.209,25.155,24.581,5.0080,0.0083,1,0,0,0,24.386,23.722,23.981
71000,26.507,25.239,24.564,5.0065,0.0068,1,0,0,0,23.963,24.058,24.062
72000,26.724,25.288,24.702,5.0055,0.0058,1,0,0,0,23.651,24.438,23.640
73000,27.036,25.425,24.738,5.0110,0.0113,1,0,0,0,23.952,23.938,23.599
74000,27.302,25.464,24.859,5.0125,0.0128,1,0,0,0,23.861,24.039,24.134
75000,27.532,25.732,24.902,5.0127,0.0130,1,0,0,0,24.427,23.927,23.878
76000,27.598,25.807,24.897,5.0101,0.0104,1,0,0,0,24.351,23.306,23.950
77000,27.848,25.891,24.879,5.0094,0.0098,1,0,0,0,24.032,24.006,23.892
78000,27.951,26.077,24.953,5.0102,0.0106,1,0,0,0,23.616,24.091,24.456
79000,28.242,26.225,25.017,5.0102,0.0105,1,0,0,0,23.632,23.846,24.379
80000,28.603,26.477,25.091,5.0137,0.0140,1,0,0,0,24.005,23.654,23.629
81000,28.875,26.302,25.193,5.0165,0.0168,1,0,0,0,24.101,23.736,23.840
82000,28.865,26.628,25.283,5.0147,0.0150,1,0,0,0,23.888,24.229,24.255
83000,29.134,26.726,25.277,5.0160,0.0163,1,0,0,0,23.856,24.592,24.181
84000,29.397,26.699,25.337,5.0180,0.0183,1,0,0,0,23.822,24.415,23.988
85000,29.637,26.889,25.402,5.0162,0.0166,1,0,0,0,23.993,23.597,23.659
86000,29.766,26.949,25.404,5.0202,0.0205,1,0,0,0,23.285,24.256,23.795
87000,30.080,27.112,25.426,5.0210,0.0213,1,0,0,0,23.670,23.801,23.845
88000,30.222,27.329,25.414,5.0185,0.0188,1,0,0,0,23.812,23.825,24.083
89000,30.473,27.369,25.554,5.0185,0.0188,1,0,0,0,24.362,23.861,24.511
90000,30.731,27.472,25.702,5.0213,0.0216,1,0,0,0,23.756,24.212,23.794
91000,30.900,27.508,25.662,5.0200,0.0203,1,0,0,0,24.054,24.288,23.692
92000,31.077,27.534,25.754,5.0192,0.0196,1,0,0,0,24.068,23.971,23.967
93000,31.314,27.747,25.864,5.0239,0.0242,1,0,0,0,24.389,23.976,24.310
94000,31.526,27.971,25.923,5.0247,0.0250,1,0,0,0,24.379,24.139,23.566
95000,31.714,27.862,25.849,5.0230,0.0233,1,0,0,0,23.983,24.170,24.436
96000,31.932,28.010,26.069,5.0219,0.0222,1,0,0,0,23.857,24.353,23.948
97000,32.289,28.214,26.134,5.0230,0.0233,1,0,0,0,23.801,23.615,23.780
98000,32.414,28.234,26.007,5.0251,0.0254,1,0,0,0,23.928,24.006,23.520
99000,32.553,28.359,26.085,5.0247,0.0251,1,0,0,0,23.870,23.680,24.212
100000,32.839,28.498,26.300,5.0261,0.0264,1,0,0,0,24.166,23.985,23.949
101000,32.962,28.531,26.247,5.0283,0.0286,1,0,0,0,24.126,23.932,24.051
102000,33.288,28.671,26.135,5.0285,0.0288,1,0,0,0,24.178,23.986,23.730
103000,33.429,28.914,26.254,5.0303,0.0307,1,0,0,0,24.378,23.760,23.904
104000,33.595,28.861,26.400,5.0272,0.0275,1,0,0,0,24.559,23.554,23.854
105000,33.843,28.946,26.380,5.0287,0.0290,1,0,0,0,24.037,23.372,23.970
106000,33.884,29.131,26.493,5.0309,0.0313,1,0,0,0,24.330,23.961,23.799
107000,34.122,29.348,26.583,5.0314,0.0318,1,0,0,0,23.895,23.871,23.540
108000,34.318,29.381,26.750,5.0337,0.0340,1,0,0,0,24.356,23.797,24.819
109000,34.626,29.467,26.663,5.0326,0.0329,1,0,0,0,24.318,24.397,23.591
110000,34.954,29.614,26.825,5.0358,0.0361,1,0,0,0,24.303,23.742,24.054
111000,35.194,29.578,26.907,5.0342,0.0345,1,0,0,0,24.028,24.425,23.468
112000,35.265,29.864,26.960,5.0358,0.0361,1,0,0,0,23.799,24.487,23.401
113000,35.453,29.961,26.921,5.0342,0.0345,1,0,0,0,23.582,23.415,24.029
114000,35.467,30.004,26.795,5.0346,0.0349,1,0,0,0,23.988,24.028,24.052
115000,35.765,30.223,27.041,5.0372,0.0375,1,0,0,0,24.460,23.880,24.378
116000,35.942,30.158,27.141,5.0386,0.0389,1,0,0,0,23.907,23.126,24.120
117000,36.152,30.444,27.103,5.0381,0.0384,1,0,0,0,24.236,23.567,23.955
118000,36.383,30.472,27.302,5.0376,0.0379,1,0,0,0,24.253,24.232,23.715
119000,36.554,30.538,27.284,5.0402,0.0405,1,0,0,0,23.915,24.606,24.450
120000,36.628,30.668,27.313,5.0353,0.0356,1,0,0,0,24.395,24.271,24.279
121000,37.040,30.766,27.407,5.0374,0.0377,1,0,0,0,23.127,24.097,23.626
122000,37.087,30.976,27.399,5.0411,0.0414,1,0,0,0,23.633,23.994,24.011
123000,37.385,30.897,27.225,5.0401,0.0404,1,0,0,0,23.725,24.505,24.043
124000,37.724,31.026,27.437,5.0421,0.0424,1,0,0,0,23.754,24.644,23.896
125000,37.676,31.274,27.625,5.0420,0.0423,1,0,0,0,24.101,23.824,24.232
126000,37.738,31.247,27.517,5.0427,0.0430,1,0,0,0,24.087,23.400,24.250
127000,38.107,31.471,27.616,5.0418,0.0421,1,0,0,0,24.118,23.371,23.943
128000,38.408,31.638,27.602,5.0446,0.0450,1,0,0,0,24.179,24.397,23.916
129000,38.666,31.573,27.880,5.0460,0.0463,1,0,0,0,23.715,23.986,24.450
130000,38.599,31.763,27.924,5.0467,0.0470,1,0,0,0,23.635,24.055,24.280
131000,38.925,31.718,27.770,5.0480,0.0484,1,0,0,0,24.119,23.463,24.022
132000,39.036,31.974,27.905,5.0463,0.0466,1,0,0,0,23.811,23.774,23.511
133000,39.251,32.032,27.890,5.0468,0.0471,1,0,0,0,23.529,23.911,24.103
134000,39.657,32.156,28.045,5.0452,0.0455,1,0,0,0,24.291,24.062,24.209
135000,39.511,32.168,28.088,5.0466,0.0469,1,0,0,0,24.419,23.880,23.174
136000,39.837,32.189,28.164,5.0477,0.0481,1,0,0,0,24.467,23.689,24.076
137000,40.038,32.463,28.177,5.0505,0.0508,1,0,0,0,24.056,23.765,23.875
138000,40.272,32.359,28.437,5.0486,0.0489,1,0,0,0,24.188,24.362,23.934
139000,40.376,32.600,28.171,5.0509,0.0512,1,0,0,0,24.411,24.073,23.728
140000,40.576,32.802,28.168,5.0505,0.0508,1,0,0,0,23.808,24.184,23.956
141000,40.702,32.843,28.324,5.0507,0.0510,1,0,0,0,24.333,23.730,24.418
142000,40.936,33.084,28.281,5.0522,0.0525,1,0,0,0,24.083,23.114,23.866
143000,41.069,33.110,28.338,5.0515,0.0519,1,0,0,0,24.274,23.843,24.290
144000,41.326,33.076,28.429,5.0520,0.0523,1,0,0,0,24.056,23.740,23.758
145000,41.427,33.231,28.486,5.0506,0.0509,1,0,0,0,24.389,24.105,24.228
146000,41.666,33.325,28.534,5.0534,0.0538,1,0,0,0,24.067,24.986,24.000
147000,41.813,33.301,28.703,5.0535,0.0538,1,0,0,0,23.555,24.209,24.106
148000,42.083,33.452,28.672,5.0542,0.0545,1,0,0,0,24.436,24.821,24.002
149000,42.167,33.582,28.748,5.0561,0.0564,1,0,0,0,23.716,24.171,24.192
150000,42.207,33.563,28.885,5.0567,0.0570,1,0,0,0,24.376,23.811,23.230
151000,42.626,33.828,28.803,5.0571,0.0574,1,0,0,0,23.973,24.104,23.574
152000,42.629,33.903,28.893,5.0586,0.0589,1,0,0,0,24.353,24.534,24.125
153000,42.825,33.888,28.994,5.0584,0.0587,1,0,0,0,24.340,24.549,23.387
154000,43.004,34.152,28.860,5.0577,0.0580,1,0,0,0,24.129,23.827,23.841
155000,43.337,34.275,28.875,5.0582,0.0585,1,0,0,0,24.153,24.076,23.984
156000,43.230,34.334,29.143,5.0598,0.0601,1,0,0,0,24.127,23.571,23.752
157000,43.825,34.388,29.205,5.0613,0.0616,1,0,0,0,23.396,24.247,23.793
158000,43.832,34.559,29.381,5.0632,0.0635,1,0,0,0,24.035,24.466,24.081
159000,43.937,34.663,29.279,5.0631,0.0634,1,0,0,0,23.665,24.012,24.303
160000,44.087,34.730,29.382,5.0610,0.0613,1,0,0,0,24.051,23.800,23.712
161000,44.286,34.737,29.350,5.0619,0.0623,1,0,0,0,23.657,24.108,23.827
162000,44.475,34.922,29.440,5.0639,0.0642,1,0,0,0,23.645,24.125,23.781
163000,44.656,35.092,29.599,5.0654,0.0657,1,0,0,0,24.481,24.024,23.274
164000,44.818,35.045,29.345,5.0650,0.0653,1,0,0,0,24.321,24.054,24.043
165000,44.950,35.357,29.598,5.0647,0.0650,1,0,0,0,23.999,23.948,24.280
166000,45.096,35.243,29.786,5.0632,0.0635,1,0,0,0,24.055,24.299,24.305
167000,45.268,35.383,29.687,5.0640,0.0643,1,0,0,0,23.926,24.221,23.739
168000,45.432,35.422,29.846,5.0665,0.0668,1,0,0,0,24.171,23.705,23.624
169000,45.706,35.590,29.713,5.0671,0.0675,1,0,0,0,23.797,23.697,24.006
170000,45.829,35.528,29.810,5.0652,0.0655,1,0,0,0,24.298,23.924,24.249
171000,45.713,35.718,29.865,5.0672,0.0675,1,0,0,0,23.924,24.221,24.046
172000,46.166,35.770,29.734,5.0687,0.0690,1,0,0,0,23.874,24.044,24.087
173000,46.295,35.963,29.867,5.0668,0.0672,1,0,0,0,24.007,23.807,24.343
174000,46.442,36.126,29.922,5.0709,0.0712,1,0,0,0,23.823,24.078,23.778
175000,46.577,36.192,30.124,5.0693,0.0696,1,0,0,0,24.099,23.901,23.934
176000,46.861,36.045,30.177,5.0720,0.0723,1,0,0,0,23.839,24.264,24.490
177000,47.011,36.492,30.183,5.0705,0.0708,1,0,0,0,24.141,24.100,23.941
178000,47.036,36.446,30.271,5.0698,0.0701,1,0,0,0,24.365,23.905,23.620
179000,47.292,36.454,30.241,5.0710,0.0714,1,0,0,0,23.784,24.069,23.799
180000,47.344,36.622,30.399,5.0723,0.0726,1,0,0,0,23.961,24.395,23.719
181000,47.472,36.717,30.353,5.0721,0.0725,1,0,0,0,24.138,23.829,24.107
182000,47.693,36.743,30.405,5.0729,0.0732,1,0,0,0,23.869,24.121,23.731
183000,47.972,36.905,30.428,5.0745,0.0748,1,0,0,0,24.139,23.979,24.081
184000,48.139,36.933,30.552,5.0743,0.0746,1,0,0,0,24.167,24.128,23.779
185000,48.263,37.042,30.512,5.0748,0.0751,1,0,0,0,24.325,23.804,23.363
186000,48.439,37.112,30.673,5.0730,0.0733,1,0,0,0,23.818,24.033,24.092
187000,48.580,37.145,30.552,5.0762,0.0765,1,0,0,0,23.717,24.332,24.045
188000,48.646,37.363,30.603,5.0761,0.0765,1,0,0,0,23.908,23.719,24.155
189000,48.889,37.490,30.794,5.0796,0.0800,1,0,0,0,23.710,23.601,23.798
190000,49.075,37.576,30.781,5.0763,0.0766,1,0,0,0,24.169,23.613,23.766
191000,49.228,37.692,30.799,5.0755,0.0758,1,0,0,0,23.651,23.649,24.120
192000,49.418,37.744,30.955,5.0797,0.0801,1,0,0,0,24.700,24.179,24.456
193000,49.535,37.766,30.883,5.0795,0.0798,1,0,0,0,24.389,23.578,24.003
194000,49.661,37.967,30.964,5.0782,0.0785,1,0,0,0,24.004,23.911,24.127
195000,49.873,37.882,31.140,5.0778,0.0781,1,0,0,0,24.260,24.185,23.904
196000,49.940,38.009,31.199,5.0829,0.0832,1,0,0,0,23.509,24.125,23.537
197000,50.025,38.095,31.249,5.0831,0.0834,1,0,0,0,24.757,23.884,24.290
198000,50.235,38.348,31.148,5.0779,0.0782,1,0,0,0,23.823,24.057,24.273
199000,50.341,38.428,31.317,5.0816,0.0819,1,0,0,0,23.964,24.032,24.213
200000,50.499,38.481,31.190,5.0849,0.0852,1,0,0,0,23.443,23.933,23.945
201000,50.693,38.618,31.241,5.0824,0.0827,1,0,0,0,24.146,23.937,24.179
202000,50.792,38.551,31.173,5.0822,0.0826,1,0,0,0,23.668,24.671,24.268
203000,50.981,38.739,31.543,5.0838,0.0841,1,0,0,0,24.030,24.243,24.486
204000,51.005,38.790,31.387,5.0825,0.0828,1,0,0,0,23.837,24.744,24.297
205000,51.323,38.957,31.493,5.0826,0.0829,1,0,0,0,23.677,23.851,24.019
206000,51.455,38.969,31.478,5.0869,0.0872,1,0,0,0,23.759,23.975,23.608
207000,51.539,39.036,31.653,5.0831,0.0834,1,0,0,0,24.068,23.600,24.047
208000,51.805,39.199,31.615,5.0870,0.0873,1,0,0,0,23.616,23.757,24.077
209000,51.975,39.314,31.588,5.0884,0.0887,1,0,0,0,23.775,24.571,24.213
210000,51.919,39.278,31.774,5.0850,0.0853,1,0,0,0,24.199,23.843,24.406
211000,52.134,39.415,31.671,5.0862,0.0866,1,0,0,0,24.781,24.576,23.971
212000,52.280,39.423,31.766,5.0898,0.0902,1,0,0,0,24.143,23.627,24.630
213000,52.412,39.396,31.711,5.0889,0.0892,1,0,0,0,23.725,23.684,23.472
214000,52.699,39.699,31.813,5.0884,0.0887,1,0,0,0,23.890,23.898,24.126
215000,52.763,39.819,31.988,5.0917,0.0921,1,0,0,0,24.009,23.981,23.760
216000,52.902,39.879,31.863,5.0919,0.0922,1,0,0,0,23.895,24.277,23.428
217000,52.907,39.789,31.948,5.0904,0.0908,1,0,0,0,24.271,24.135,23.939
218000,53.262,40.003,32.113,5.0899,0.0903,1,0,0,0,24.065,23.875,23.563
219000,53.255,39.941,32.116,5.0905,0.0909,1,0,0,0,24.272,23.960,23.952
220000,53.502,40.314,32.365,5.0931,0.0935,1,0,0,0,23.906,23.904,24.010
221000,53.662,40.204,32.399,5.0925,0.0928,1,0,0,0,24.398,23.726,24.336
222000,53.891,40.478,32.229,5.0949,0.0952,1,0,0,0,23.950,23.734,23.548
223000,53.819,40.539,32.390,5.0914,0.0917,1,0,0,0,23.709,24.308,24.273
224000,53.824,40.477,32.451,5.0914,0.0918,1,0,0,0,24.653,23.452,24.029
225000,54.221,40.544,32.390,5.0946,0.0949,1,0,0,0,23.453,24.485,24.309
226000,54.490,40.748,32.364,5.0944,0.0947,1,0,0,0,23.778,23.897,23.870
227000,54.585,40.738,32.529,5.0946,0.0949,1,0,0,0,23.812,23.768,23.600
228000,54.643,40.899,32.562,5.0934,0.0937,1,0,0,0,24.752,24.222,23.635
229000,54.726,40.937,32.587,5.0963,0.0966,1,0,0,0,24.542,24.446,23.612
230000,54.968,40.918,32.703,5.0967,0.0970,1,0,0,0,24.448,24.335,24.143
231000,54.964,40.967,32.653,5.0978,0.0981,1,0,0,0,23.901,24.151,24.443
232000,55.218,41.248,32.667,5.0979,0.0982,1,0,0,0,24.728,24.326,23.831
233000,55.357,41.270,32.813,5.0981,0.0984,1,0,0,0,24.111,23.485,24.189
234000,55.539,41.355,32.881,5.1006,0.1009,1,0,0,0,24.293,23.843,23.543
235000,55.811,41.539,32.802,5.0976,0.0979,1,0,0,0,24.054,23.727,24.054
236000,55.758,41.661,33.016,5.1008,0.1012,1,0,0,0,23.985,24.367,24.201
237000,55.822,41.629,32.845,5.0973,0.0976,1,0,0,0,23.924,23.885,23.566
238000,55.996,41.707,32.986,5.0992,0.0995,1,0,0,0,23.937,24.254,23.939
239000,55.991,41.858,33.057,5.0990,0.0994,1,0,0,0,24.183,24.161,24.215
240000,56.211,41.792,33.072,5.1023,0.1026,1,0,0,0,24.110,23.741,23.120
241000,56.368,42.002,33.123,5.1018,0.1021,1,0,0,0,23.991,23.824,24.401
242000,56.493,42.111,33.363,5.1026,0.1029,1,0,0,0,24.453,24.388,24.106
243000,56.680,42.204,33.191,5.1012,0.1015,1,0,0,0,23.110,23.767,24.215
244000,56.735,42.077,33.499,5.1027,0.1030,1,0,0,0,24.153,24.037,23.876
245000,57.023,42.254,33.384,5.1027,0.1030,1,0,0,0,24.215,23.765,23.483
246000,57.065,42.327,33.401,5.1046,0.1049,1,0,0,0,24.344,23.906,24.160
247000,57.196,42.487,33.477,5.1032,0.1035,1,0,0,0,23.981,23.986,23.975
248000,57.302,42.599,33.686,5.1074,0.1077,1,0,0,0,24.062,23.765,24.010
249000,57.471,42.763,33.449,5.1031,0.1035,1,0,0,0,24.296,23.712,24.326
250000,57.655,42.685,33.483,5.1046,0.1049,1,0,0,0,24.447,24.086,24.229
251000,57.650,42.766,33.557,5.1086,0.1089,1,0,0,0,23.910,23.747,24.576
252000,57.796,42.979,33.665,5.1063,0.1066,1,0,0,0,24.080,23.757,24.046
253000,57.954,42.992,33.569,5.1051,0.1054,1,0,0,0,24.504,23.718,23.793
254000,57.999,43.151,33.753,5.1081,0.1084,1,0,0,0,23.363,23.977,23.943
255000,58.170,43.154,33.932,5.1076,0.1079,1,0,0,0,23.793,24.283,24.125
256000,58.325,43.119,33.853,5.1071,0.1074,1,0,0,0,24.440,24.452,24.305
257000,58.561,43.185,33.861,5.1072,0.1076,1,0,0,0,24.328,23.782,23.560
258000,58.639,43.248,33.880,5.1133,0.1136,1,0,0,0,24.157,24.645,24.003
259000,58.761,43.505,34.045,5.1098,0.1101,1,0,0,0,23.865,23.699,24.483
260000,58.940,43.628,33.952,5.1076,0.1080,1,0,0,0,23.735,24.325,23.928
261000,58.987,43.760,34.210,5.1135,0.1138,1,0,0,0,23.823,23.783,24.279
262000,59.155,43.760,34.261,5.1125,0.1128,1,0,0,0,24.464,23.739,24.148
263000,59.240,43.865,34.171,5.1107,0.1110,1,0,0,0,23.811,23.777,24.287
264000,59.395,43.805,34.193,5.1106,0.1109,1,0,0,0,24.030,23.984,23.757
265000,59.452,43.838,34.320,5.1133,0.1137,1,0,0,0,23.774,24.174,23.758
266000,59.427,44.078,34.369,5.1125,0.1128,1,0,0,0,24.253,24.201,24.006
267000,59.735,44.122,34.261,5.1104,0.1107,1,0,0,0,23.838,23.717,23.540
268000,59.983,44.176,34.327,5.1166,0.1169,1,0,0,0,23.971,23.703,23.919
269000,60.067,44.278,34.307,5.1135,0.1138,1,0,0,0,23.495,23.725,24.076
270000,60.192,44.351,34.490,5.1171,0.1174,1,0,0,0,23.516,23.967,24.535
271000,60.336,44.506,34.554,5.1174,0.1177,1,0,0,0,24.002,23.937,24.121
272000,60.366,44.585,34.436,5.1140,0.1143,1,0,0,0,23.602,23.715,24.188
273000,60.497,44.603,34.551,5.1175,0.1178,1,0,0,0,24.632,24.081,24.349
274000,60.553,44.706,34.523,5.1152,0.1155,1,0,0,0,23.382,24.679,23.711
275000,60.697,44.757,34.603,5.1138,0.1141,1,0,0,0,23.760,23.849,23.950
276000,60.892,44.756,34.762,5.1165,0.1169,1,0,0,0,24.005,23.870,24.728
277000,61.059,44.931,34.702,5.1183,0.1186,1,0,0,0,23.890,24.168,23.976
278000,61.072,44.837,34.780,5.1170,0.1173,1,0,0,0,23.669,23.832,24.335
279000,61.166,45.110,34.717,5.1178,0.1181,1,0,0,0,23.713,24.201,24.289
280000,61.321,45.007,34.906,5.1203,0.1206,1,0,0,0,23.703,23.784,23.557
281000,61.488,45.202,34.930,5.1194,0.1198,1,0,0,0,23.914,24.550,24.093
282000,61.442,45.189,34.919,5.1179,0.1182,1,0,0,0,24.586,24.103,24.044
283000,61.492,45.377,35.005,5.1208,0.1211,1,0,0,0,24.023,23.814,24.099
284000,61.749,45.407,35.077,5.1206,0.1210,1,0,0,0,24.355,23.823,23.774
285000,61.813,45.358,35.040,5.1165,0.1168,1,0,0,0,24.152,23.846,23.665
286000,61.986,45.596,35.030,5.1217,0.1220,1,0,0,0,24.334,24.412,23.857
287000,62.132,45.592,35.336,5.1223,0.1226,1,0,0,0,23.160,23.619,23.971
288000,62.223,45.784,35.183,5.1221,0.1224,1,0,0,0,23.909,23.800,24.355
289000,62.491,45.790,35.269,5.1239,0.1242,1,0,0,0,24.392,23.832,24.545
290000,62.517,45.897,35.400,5.1221,0.1224,1,0,0,0,23.828,23.995,24.419
291000,62.630,45.864,35.644,5.1241,0.1244,1,0,0,0,24.529,23.919,24.258
292000,62.770,45.969,35.305,5.1211,0.1214,1,0,0,0,24.445,23.553,23.699
293000,62.743,46.054,35.483,5.1245,0.1248,1,0,0,0,23.859,23.880,23.877
294000,63.032,46.235,35.433,5.1275,0.1279,1,0,0,0,23.849,23.970,24.063
295000,63.056,46.375,35.488,5.1235,0.1239,1,0,0,0,23.696,23.812,23.810
296000,63.229,46.251,35.516,5.1239,0.1243,1,0,0,0,23.811,24.206,24.173
297000,63.202,46.476,35.526,5.1245,0.1248,1,0,0,0,23.630,24.276,24.216
298000,63.276,46.291,35.655,5.1257,0.1260,1,0,0,0,24.129,23.976,24.161
299000,63.578,46.443,35.582,5.1245,0.1249,1,0,0,0,23.563,24.069,24.308
300000,63.655,46.536,35.818,5.1244,0.1248,1,0,0,0,24.181,23.352,23.729
301000,63.664,46.579,35.789,5.1251,0.1255,1,0,0,0,24.188,23.874,24.280
302000,63.778,46.634,35.860,5.1251,0.1254,1,0,0,0,23.502,24.301,23.791
